news_id,original_title,generated_title,clickbait,sentence_no,sentence_raw,sentence_cleaned,used_in_title
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,2,"16일 MBC는 이 같이 밝히며 \""15일 밤 늦게 이메일을 통해 전문계약직 아나운서들의 직장 내 괴롭힘 신고를 접수 받았다. 지체 없이 사실확인을 위한 객관적이고 공정한 조사를 실시하고 필요한 조치를 취할 예정\""이라고 말했다.",MBC는 같이 밝히며 늦게 이메일을 통해 전문계약직 아나운서들의 직장 괴롭힘 신고를 접수 받았다 지체 없이 사실확인을 위한 객관적이고 공정한 조사를 실시하고 필요한 조치를 취할 예정 이라고 말했다,0
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,3,앞서 MBC 16·17사번 계약직 아나운서들은 직장 내 괴롭힘 방지법이 시행된 16일 오전 서울고용노동청에 진정서를 냈다.,앞서 MBC 사번 계약직 아나운서들은 직장 괴롭힘 방지법이 시행된 오전 서울고용노동청에 진정서를 냈다,0
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,4,"이들은 기자회견을 통해 \""MBC가 아나운서들을 기존 업무 공간에서 격리하고 아무 업무를 주지 않으며 사내 전산망을 차단하는 등 근로자 지위를 인정하라는 명령을 이행하지 않고 있다\""고 강조했다.",이들은 기자회견을 통해 MBC가 아나운서들을 기존 업무 공간에서 격리하고 아무 업무를 주지 않으며 사내 전산망을 차단하는 근로자 지위를 인정하라는 명령을 이행하지 않고 강조했다,1
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,5,16·17사번 아나운서들은 MBC가 노사 갈등을 겪던 상황에 입사했다.,사번 아나운서들은 MBC가 노사 갈등을 겪던 상황에 입사했다,0
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,6,이후 2017년 12월 최승호 사장이 취임하면서 경영진이 교체되자 지난해 계약 해지 통보를 받았다는 게 이들의 주장이다.,이후 최승호 사장이 취임하면서 경영진이 교체되자 지난해 계약 해지 통보를 받았다는 이들의 주장이다,0
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,7,"이에 대해 MBC 측은 \""이미 개정 근로기준법의 시행에 맞춰 관련 사규를 개정해, 신고 시 처리 절차 등을 상세히 규정한 바 있다. 그럼에도 불구하고 해당 전문계약직 아나운서들은 내부 절차를 도외시한 채, 개정법률 시행일 아침 기자회견과 노동청 진정이라는 방식을 택했다. 또 절차와 규정을 무시한 채 타 언론사의 카메라들을 대동해 임원실을 방문해 촬영하게 하기도 했다\""며 이들의 행동을 지적했다.",이에 대해 MBC 측은 이미 개정 근로기준법의 시행에 맞춰 관련 사규를 개정해 신고 처리 절차 등을 상세히 규정한 그럼에도 불구하고 해당 전문계약직 아나운서들은 내부 절차를 도외시한 개정법률 시행일 아침 기자회견과 노동청 진정이라는 방식을 택했다 절차와 규정을 무시한 언론사의 카메라들을 대동해 임원실을 방문해 촬영하게 하기도 했다 이들의 행동을 지적했다,0
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,8,"그러면서 \""그간 이들의 각종 부적절한 대외 발표와 사실과 다른 언행에 대해 직접적인 대응을 삼간 채, 계약기간 만료에 따른 퇴사가 부당해고에 해당하는 지에 대한 법적 판단을 기다려왔다\""면서 \""단체협약의 취지 등을 고려해 1심 판결결과를 따를 것\""이라고 말했다.",그러면서 그간 이들의 각종 부적절한 대외 발표와 사실과 다른 언행에 대해 직접적인 대응을 삼간 계약기간 만료에 따른 퇴사가 부당해고에 해당하는 지에 대한 법적 판단을 기다려왔다 면서 단체협약의 취지 등을 고려해 판결결과를 따를 이라고 말했다,0
LC_M02_193917,"MBC, 전문계약직 부당해고 논란에 \""法 판단 기다릴 것\"" 입장 밝혀","MBC 아나운서, 직장 내 괴롭힘 신고... 도대체 무슨 일이?",0,9,"이 같은 공식 입장을 전하면서 MBC 측은 미디어SR에 \""개정된 근로기준법의 취지에 부합하는지 여부를 면밀히 살필 것\""이라고 덧붙였다.",같은 공식 입장을 전하면서 MBC 측은 미디어SR에 개정된 근로기준법의 취지에 부합하는지 여부를 면밀히 살필 이라고 덧붙였다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,1,그룹 아이콘 멤버 비아이(23·본명 김한빈) 마약 사건 수사 무마 의혹과 관련된 공익신고 사건이 대검찰청으로 넘어갔다.,그룹 아이콘 멤버 비아이 본명 김한빈 마약 사건 수사 무마 의혹과 관련된 공익신고 사건이 대검찰청으로 넘어갔다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,2,비아이의 마약 사건 제보자 A씨를 방정현 변호사가 대리한 이번 사건은 국민권익위원회 의결을 거쳐 대검찰청으로 18일 이첩됐다.,비아이의 마약 사건 제보자 A씨를 방정현 변호사가 대리한 이번 사건은 국민권익위원회 의결을 거쳐 대검찰청으로 이첩됐다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,3,"이에 대해 국민권익위원회 측은 미디어SR에 \""사건과 관련된 사항에 대해서는 입장을 밝히기 어렵다\""며 조심스러운 입장을 보였다.",이에 대해 국민권익위원회 측은 미디어SR에 사건과 관련된 사항에 대해서는 입장을 밝히기 어렵다 조심스러운 입장을 보였다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,4,검찰은 이첩된 사건 내용을 검토한 뒤 처리 방침을 결정할 계획이다.,검찰은 이첩된 사건 내용을 검토한 처리 방침을 결정할 계획이다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,5,검찰이 직접 수사하거나 경찰로 이첩될 전망이다.,검찰이 직접 수사하거나 경찰로 이첩될 전망이다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,6,비아이가 지난 2016년 마약 범죄 의혹에 휩싸였던 사실은 지난 12일 뒤늦게 알려졌다.,비아이가 지난 마약 범죄 의혹에 휩싸였던 사실은 지난 뒤늦게 알려졌다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,7,"비아이가 대마초와 LSD 등 마약류로 지정된 환각제를 A씨로부터 구매하고자 한 정황이 드러났으나, A씨가 진술을 번복하면서 경찰조사를 받진 않은 것으로 전해졌다.",비아이가 대마초와 LSD 마약류로 지정된 환각제를 A씨로부터 구매하고자 정황이 드러났으나 A씨가 진술을 번복하면서 경찰조사를 받진 않은 것으로 전해졌다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,8,수사기관이 지난 2016년 8월 비아이의 마약 투약 의혹과 관련해 구체적 진술과 자료를 확보하고도 제대로 수사하지 않은 것에 대해 최근 방정현 변호사는 A씨 대신 권익위에 비실명 대리신고를 했다.,수사기관이 지난 비아이의 마약 투약 의혹과 관련해 구체적 진술과 자료를 확보하고도 제대로 수사하지 않은 것에 대해 최근 방정현 변호사는 A씨 대신 권익위에 비실명 대리신고를 했다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,9,"방 변호사의 대리신고와는 별개로, 경찰은 당시 부실수사 논란에 대해 재수사를 검토하고 있는 상황이다.",변호사의 대리신고와는 별개로 경찰은 당시 부실수사 논란에 대해 재수사를 검토하고 있는 상황이다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,10,"사건을 조사했던 경기남부지방경찰청 마약수사대는 조만간 A씨를 불러 조사를 진행, 과거 진술이 번복될 경우 재수사에 착수하겠다는 계획이다.",사건을 조사했던 경기남부지방경찰청 마약수사대는 조만간 A씨를 불러 조사를 진행 과거 진술이 번복될 경우 재수사에 착수하겠다는 계획이다,0
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,11,비아이의 마약 의혹은 부실수사 논란으로까지 이어지면서 더욱 큰 사태로 이어지고 있다.,비아이의 마약 의혹은 부실수사 논란으로까지 이어지면서 더욱 사태로 이어지고,1
LC_M02_193909,"비아이 마약사건 무마 의혹 사건, 대검찰청으로 이첩","아이콘 멤버 비아이 마약 의혹 부실 조사, YG 입김 들어갔나?",0,12,"비아이는 사건이 수면 위로 떠오른 12일 YG엔터테인먼트와의 전속계약을 해지, 팀을 탈퇴했고 양현석 YG엔터테인먼트 대표 프로듀서와 양민석 YG엔터테인먼트 대표이사는 모든 보직을 내려놓고 사임한 상황이다.",비아이는 사건이 수면 위로 떠오른 YG엔터테인먼트와의 전속계약을 해지 팀을 탈퇴했고 양현석 YG엔터테인먼트 대표 프로듀서와 양민석 YG엔터테인먼트 대표이사는 모든 보직을 내려놓고 사임한 상황이다,1
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,1,"드라마 제작사들이 잇딴 성폭력 잡음과 관련, 배상에 대한 논의를 진행한다. 25일 한국드라마제작사협회 관계자는 미디어SR에 \""회원간 실무진 회의가 매달 진행된다. 최근에 성폭력과 관련된 이슈가 지속적으로 발생해 이와 관련된 논의가 필요하다는 의견이 있었다. 조만간 열리는 실무진 회의를 통해 논의할 계획이다\""라고 전했다.",드라마 제작사들이 잇딴 성폭력 잡음과 관련 배상에 대한 논의를 진행한다 한국드라마제작사협회 관계자는 미디어SR에 회원간 실무진 회의가 매달 진행된다 최근에 성폭력과 관련된 이슈가 지속적으로 발생해 이와 관련된 논의가 필요하다는 의견이 있었다 조만간 열리는 실무진 회의를 통해 논의할 계획이다 라고 전했다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,2,"이 관계자는 \""제작사가 입은 손해에 대한 배상 등에 관련된 논의도 진행되나\""라는 질문에 그렇다고 답했다.",관계자는 제작사가 입은 손해에 대한 배상 등에 관련된 논의도 진행되나 라는 질문에 그렇다고 답했다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,3,올 초 서지현 검사의 '미투'(나도 당했다)를 시작으로 업계 내의 고질적인 성폭력을 폭로했던 여성들의 캠페인은 대중문화계에서도 큰 파장을 일으켰다.,서지현 검사의 미투 나도 당했다 시작으로 업계 내의 고질적인 성폭력을 폭로했던 여성들의 캠페인은 대중문화계에서도 파장을 일으켰다,1
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,4,"그 결과, 성폭력의 가해자로 지목된 조재현, 오달수 등이 출연 중이거나 출연 예정인 드라마에서 전격 하차하기도 했다.",결과 성폭력의 가해자로 지목된 조재현 오달수 등이 출연 중이거나 출연 예정인 드라마에서 전격 하차하기도 했다,1
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,5,"오달수의 경우 촬영 전이라 다른 배우를 급히 캐스팅 해 위기를 무마했지만, 조재현은 주연급으로 출연하고 있던터라, 급박하게 대본을 전면 수정하는 등 제작진의 고초가 심했다.",오달수의 경우 촬영 전이라 다른 배우를 급히 캐스팅 위기를 무마했지만 조재현은 주연급으로 출연하고 있던터라 급박하게 대본을 전면 수정하는 제작진의 고초가 심했다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,6,최근에는 배우 이서원이 강제 추행 및 특수 협박 혐의로 검찰 조사를 받게 되면서 출연 예정인 tvN 드라마 '어바웃 타임'에서 하차했다.,최근에는 배우 이서원이 강제 추행 특수 협박 혐의로 검찰 조사를 받게 되면서 출연 예정인 tvN 드라마 어바웃 타임 하차했다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,7,"이 드라마는 지난 2월부터 촬영을 시작한 상태라, 이서원의 출연 분 역시 상당 부분 촬영된 상태였다.",드라마는 지난 월부터 촬영을 시작한 상태라 이서원의 출연 역시 상당 부분 촬영된 상태였다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,8,결국 제작진은 배우를 다시 캐스팅 해 추가 촬영에 임해야 했다.,결국 제작진은 배우를 다시 캐스팅 추가 촬영에 임해야 했다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,9,이 과정에서 소모되는 인력 및 제작비 등은 오롯이 제작사가 감당해야 했다.,과정에서 소모되는 인력 제작비 등은 오롯이 제작사가 감당해야 했다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,10,"이런 일들이 반복되면서 업계에서는 \""가해자는 있는데 책임 질 사람이 없다\""라며 책임 소지를 명확히 해 더 이상 앉아서 피해를 보고만 있을 수 없다는 지적이 제기됐다.",이런 일들이 반복되면서 업계에서는 가해자는 있는데 책임 사람이 없다 라며 책임 소지를 명확히 이상 앉아서 피해를 보고만 있을 없다는 지적이 제기됐다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,11,결국 제작사 차원에서 논의를 진행해 명확한 배상원칙을 세우게 될 전망이다.,결국 제작사 차원에서 논의를 진행해 명확한 배상원칙을 세우게 전망이다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,12,"한 드라마 관계자는 \""이미 일부 제작사에서는 개별적으로 이와 관련된 진전 사항이 있는 것으로 안다\""라며 \""대부분의 제작사에서 법적 검토는 고심 하고 있을 것\""이라고 전했다.",드라마 관계자는 이미 일부 제작사에서는 개별적으로 이와 관련된 진전 사항이 있는 것으로 안다 라며 대부분의 제작사에서 법적 검토는 고심 있을 이라고 전했다,0
LC_M02_197646,"드라마제작사협회, \""성폭력 가해자로 인한 손해 배상, 논의할 것\""",`미투`가 '이곳'에 미친 여러 영향은?,0,13,"또 다른 업계 관계자는 \""기존에도 계약서 조항에 '사회적 물의를 빚었을 경우, 배상의 책임이 있다'는 조항이 있어 여기에 보다 구체적으로 포함시키는 방안을 고심 중인 것으로 안다. '성범죄'를 명시하기란 어려울 것이고, 또 지금 미투 캠페인을 통해 가해자로 지목되는 경우는 법적으로는 무죄가 되는 경우도 있다. 이렇게 되면 사실상 배상의 책임을 물게 할 근거가 부족하다. 다각도로 검토할 필요성이 있다\""고 전했다.",다른 업계 관계자는 기존에도 계약서 조항에 사회적 물의를 빚었을 경우 배상의 책임이 조항이 있어 여기에 구체적으로 포함시키는 방안을 고심 중인 것으로 안다 성범죄 명시하기란 어려울 것이고 지금 미투 캠페인을 통해 가해자로 지목되는 경우는 법적으로는 무죄가 되는 경우도 이렇게 되면 사실상 배상의 책임을 물게 근거가 부족하다 다각도로 검토할 필요성이 전했다,0
LC_M02_193878,"여기어때, '장애인 편의시설 숙소' 검색 기능 도입","여기어때, 이런 숙소도 검색할 수 있다?",0,1,숙박업체 여기어때(대표 심명섭)가 국내 O2O서비스 중 최초로 장애인 편의시설이 갖춰진 숙소를 검색할 수 있는 서비스를 도입했다.,숙박업체 여기어때 대표 심명섭 국내 O서비스 최초로 장애인 편의시설이 갖춰진 숙소를 검색할 있는 서비스를 도입했다,1
LC_M02_193878,"여기어때, '장애인 편의시설 숙소' 검색 기능 도입","여기어때, 이런 숙소도 검색할 수 있다?",0,2,"여기어때에서 예약 가능한 장애인 편의시설 숙소는 호텔, 리조트, 콘도, 펜션 등 1천 곳이며, 앱 하단 검색 메뉴에서 '장애인'으로 검색하면 해당 숙소들이 나온다.",여기어때에서 예약 가능한 장애인 편의시설 숙소는 호텔 리조트 콘도 펜션 곳이며 하단 검색 메뉴에서 장애인 검색하면 해당 숙소들이 나온다,0
LC_M02_193878,"여기어때, '장애인 편의시설 숙소' 검색 기능 도입","여기어때, 이런 숙소도 검색할 수 있다?",0,3,"숙박 종류별로 검색하려면, 앱 메인화면에서 원하는 숙박 카테고리를 선택한 후 리스트 상단 '상세조건'에서 '장애인편의시설' 필터를 선택하면 된다.",숙박 종류별로 검색하려면 메인화면에서 원하는 숙박 카테고리를 선택한 리스트 상단 상세조건 장애인편의시설 필터를 선택하면 된다,0
LC_M02_193878,"여기어때, '장애인 편의시설 숙소' 검색 기능 도입","여기어때, 이런 숙소도 검색할 수 있다?",0,4,장애인 편의시설이 있는 숙소는 상세정보 페이지 '편의시설 및 서비스'에 '장애인편의' 표시를 확인할 수 있다.,장애인 편의시설이 있는 숙소는 상세정보 페이지 편의시설 서비스 장애인편의 표시를 확인할,0
LC_M02_193878,"여기어때, '장애인 편의시설 숙소' 검색 기능 도입","여기어때, 이런 숙소도 검색할 수 있다?",0,5,"여기어때 측은 \""전국 숙박업체 5만여 곳 전수조사를 통해 숙박시설 내 장애인 편의시설 여부를 파악하고 호텔·리조트·콘도·펜션 등 1천 곳의 숙박정보에 '장애인 편의' 숙소로 표시했다\""라고 설명했다.",여기어때 측은 전국 숙박업체 만여 전수조사를 통해 숙박시설 장애인 편의시설 여부를 파악하고 호텔 리조트 콘도 펜션 곳의 숙박정보에 장애인 편의 숙소로 표시했다 라고 설명했다,0
